time,OD,CarbonSource
5.64611111111111,0.1465,Glycerol
5.74027777777778,0.1485,Glycerol
5.83416666666667,0.149,Glycerol
5.92833333333333,0.1515,Glycerol
6.0225,0.1525,Glycerol
6.11666666666667,0.155,Glycerol
6.21055555555556,0.156,Glycerol
6.30472222222222,0.158,Glycerol
6.39888888888889,0.159,Glycerol
6.49305555555556,0.1605,Glycerol
6.58722222222222,0.1615,Glycerol
6.68138888888889,0.1635,Glycerol
6.77555555555556,0.1655,Glycerol
6.86972222222222,0.1665,Glycerol
6.96388888888889,0.1675,Glycerol
7.05777777777778,0.1695,Glycerol
7.15194444444445,0.171,Glycerol
7.24611111111111,0.1725,Glycerol
7.34027777777778,0.1745,Glycerol
7.43444444444444,0.176,Glycerol
7.52861111111111,0.1785,Glycerol
7.6225,0.1805,Glycerol
7.71666666666667,0.1825,Glycerol
7.81083333333333,0.1845,Glycerol
7.905,0.187,Glycerol
7.99888888888889,0.189,Glycerol
8.09305555555556,0.19,Glycerol
8.18722222222222,0.1915,Glycerol
8.28138888888889,0.1935,Glycerol
8.37527777777778,0.1955,Glycerol
8.46944444444444,0.1975,Glycerol
8.56361111111111,0.1985,Glycerol
8.65777777777778,0.2005,Glycerol
8.75166666666667,0.203,Glycerol
8.84583333333333,0.2045,Glycerol
8.94,0.2055,Glycerol
9.03416666666667,0.207,Glycerol
9.12833333333333,0.209,Glycerol
9.22222222222222,0.211,Glycerol
9.31638888888889,0.213,Glycerol
9.41055555555556,0.214,Glycerol
9.50472222222222,0.216,Glycerol
9.59888888888889,0.2175,Glycerol
9.69305555555556,0.2195,Glycerol
9.78722222222222,0.2205,Glycerol
9.88138888888889,0.2225,Glycerol
9.97555555555556,0.224,Glycerol
10.0697222222222,0.2255,Glycerol
10.1638888888889,0.2265,Glycerol
10.2580555555556,0.2285,Glycerol
10.3522222222222,0.2295,Glycerol
10.4463888888889,0.2305,Glycerol
10.5405555555556,0.231,Glycerol
10.6347222222222,0.232,Glycerol
10.7288888888889,0.2335,Glycerol
10.8230555555556,0.2345,Glycerol
10.9172222222222,0.2355,Glycerol
11.0113888888889,0.2365,Glycerol
11.1052777777778,0.238,Glycerol
11.1994444444444,0.2385,Glycerol
11.2936111111111,0.24,Glycerol
11.3877777777778,0.241,Glycerol
11.4819444444444,0.242,Glycerol
11.5761111111111,0.243,Glycerol
11.6702777777778,0.244,Glycerol
11.7644444444444,0.245,Glycerol
11.8586111111111,0.246,Glycerol
11.9527777777778,0.2465,Glycerol
12.0469444444444,0.248,Glycerol
12.1411111111111,0.249,Glycerol
12.2352777777778,0.2495,Glycerol
12.3294444444444,0.251,Glycerol
12.4236111111111,0.2515,Glycerol
12.5177777777778,0.252,Glycerol
12.6119444444444,0.2535,Glycerol
12.7061111111111,0.254,Glycerol
12.8002777777778,0.2555,Glycerol
12.8944444444444,0.2555,Glycerol
12.9886111111111,0.2565,Glycerol
13.0827777777778,0.258,Glycerol
13.1769444444444,0.2585,Glycerol
13.2711111111111,0.2595,Glycerol
13.3652777777778,0.26,Glycerol
13.4594444444444,0.2615,Glycerol
13.5536111111111,0.2625,Glycerol
13.6477777777778,0.263,Glycerol
13.7419444444444,0.2645,Glycerol
13.8361111111111,0.2645,Glycerol
13.9302777777778,0.2655,Glycerol
14.0244444444444,0.2665,Glycerol
14.1186111111111,0.2665,Glycerol
14.2127777777778,0.268,Glycerol
14.3069444444444,0.269,Glycerol
14.4011111111111,0.2695,Glycerol
14.4952777777778,0.27,Glycerol
14.5894444444444,0.271,Glycerol
14.6838888888889,0.271,Glycerol
14.7780555555556,0.272,Glycerol
14.8722222222222,0.273,Glycerol
14.9663888888889,0.2735,Glycerol
15.0605555555556,0.274,Glycerol
15.1547222222222,0.275,Glycerol
15.2488888888889,0.2755,Glycerol
15.3430555555556,0.276,Glycerol
15.4372222222222,0.2765,Glycerol
15.5313888888889,0.2775,Glycerol
15.6255555555556,0.278,Glycerol
15.7197222222222,0.2785,Glycerol
15.8138888888889,0.2795,Glycerol
15.9080555555556,0.2795,Glycerol
16.0022222222222,0.2805,Glycerol
16.0963888888889,0.2815,Glycerol
16.1908333333333,0.2815,Glycerol
16.2855555555556,0.2825,Glycerol
16.3797222222222,0.2825,Glycerol
16.4738888888889,0.2835,Glycerol
16.5680555555556,0.2835,Glycerol
16.6622222222222,0.284,Glycerol
16.7563888888889,0.285,Glycerol
16.8505555555556,0.2855,Glycerol
16.9447222222222,0.2855,Glycerol
17.0388888888889,0.2865,Glycerol
17.1330555555556,0.2875,Glycerol
17.2272222222222,0.288,Glycerol
17.3213888888889,0.2885,Glycerol
17.4155555555556,0.289,Glycerol
17.5097222222222,0.2895,Glycerol
17.6038888888889,0.2895,Glycerol
17.6980555555556,0.2905,Glycerol
17.7922222222222,0.2905,Glycerol
17.8863888888889,0.291,Glycerol
17.9805555555556,0.2915,Glycerol
18.0747222222222,0.2925,Glycerol
18.1688888888889,0.2925,Glycerol
18.2630555555556,0.293,Glycerol
18.3572222222222,0.294,Glycerol
